"id","adult","backdrop_path","genre_ids","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
160588,False,"/q7sl4qm8WlogrZ3cJxzuN8WejM1.jpg","{18}","en","Blue Jasmine","After experiencing a traumatic misfortune, Jasmine French, a wealthy woman from New York, moves to San Francisco to live with her foster sister Ginger and the firm purpose of getting a new life, but she will be haunted by anxiety and memories of the past.","15.725","/zLdLiUJfueZBctdv8OvkmGXEHEC.jpg","2013-08-01","Blue Jasmine",False,"7.0",3252
37347,False,"/lJyDK0shCLOVa7OZQrcYkM9MKmq.jpg","{37}","en","Fort Apache","Owen Thursday sees his new posting to the desolate Fort Apache as a chance to claim the military honour which he believes is rightfully his. Arrogant, obsessed with military form and ultimately self-destructive, he attempts to destroy the Apache chief Cochise after luring him across the border from Mexico, against the advice of his subordinates.","11.128","/5PqKsWVlyIFuMeV1UkK6Q9Q8y9k.jpg","1948-06-14","Fort Apache",False,"7.0",323
21208,False,"/blJVWug8FJggb9gs6NuooyOWBTP.jpg","{27,53,9648}","en","Orphan","After losing their baby, a married couple adopt 9-year old Esther, who may not be as innocent as she seems.","30.646","/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg","2009-07-24","Orphan",False,"7.0",4955
20766,False,"/6188iOmUAitGThYUjyx20fO4LJd.jpg","{12,18}","en","The Road","A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.","22.323","/qLaXnLzqleBWQtjvZ6JGVSaKoC3.jpg","2009-11-25","The Road",False,"7.0",3504
16198,False,"/gp2Mmcc8h8B6kQ7LwtjDMXTtaxl.jpg","{16,10751}","ja","ホーホケキョ となりの山田くん","The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humorous to the heartbreaking, we see this family cope with life's little conflicts, problems, and joys in their own way.","17.735","/nj0ijnOozQtu52r0ncut769G1FX.jpg","1999-07-17","My Neighbors the Yamadas",False,"7.0",461
9036,False,"/ajCYRAAHAl5fJ77yclVpdZvvU4o.jpg","{12,18,10751}","en","Eight Below","In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.","18.85","/2f1FoEbXjvClnPvl7MLe1ig3Z98.jpg","2006-02-17","Eight Below",False,"7.0",1604
446354,False,"/h5jqLrIv1tlszezv2UEWq9KBuoj.jpg","{18,36}","en","The Post","A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.","20.331","/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg","2017-12-22","The Post",False,"6.999",4310
36657,False,"/yGxMIIDSUvaXUjjJuIYZi40Jt3J.jpg","{12,28,878}","en","X-Men","Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.","1.752","/bRDAc4GogyS9ci3ow7UnInOcriN.jpg","2000-07-13","X-Men",False,"6.999",10648
25676,False,"/9nvU0CpENgqOspMfoTUV68JaTaf.jpg","{18,28,35}","cn","寶貝計劃","For never-do-well compulsive gambler Fong, there's only one thing more fearsome than debtors at his doorstep - having to coax a crying baby. But what if the baby becomes his golden goose to fend off his debtors? Can he overcome his phobia of diapers, milk bottles, and cloying lullabies?","18.922","/1ViUIV1rf0WZQte0hHh74DWFLeW.jpg","2006-09-28","Robin-B-Hood",False,"7.0",531
11360,False,"/aRVQ1EgTx3vbhK6qls2O834bPQc.jpg","{16,10751}","en","Dumbo","Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.","55.579","/4x9FmvdJ464Fg7A9XcbYSmxfVw3.jpg","1941-10-31","Dumbo",False,"6.999",4644
